Prediction_Certainty_Threshold,Precision,Cumulative Percent of Records,True Positives,False Positives,Negatives,net_gain,net_gain_per_batter_tested
0.6800000000000003,0.7361082692701177,0.11958835681801498,25183.0,9028.0,251862.0,356.35,0.01041624039051767
0.6900000000000003,0.7446672627410909,0.10946856222013263,23320.0,7996.0,254757.0,366.4,0.011700089411163623
0.7000000000000003,0.7517198030519957,0.10010381965442387,21527.0,7110.0,257436.0,365.35000000000014,0.012757970457799354
0.7100000000000003,0.7576341021987755,0.09077752881257581,19675.0,6294.0,260104.0,354.3499999999999,0.013645115329816316
0.7200000000000003,0.7671274167850838,0.08117858029244283,17815.0,5408.0,262850.0,349.94999999999993,0.01506911251776256
0.7300000000000003,0.7719461649513343,0.0750612605873326,16576.0,4897.0,264600.0,339.1,0.015791924742700136
0.7400000000000003,0.7773765322211484,0.06872721298409847,15284.0,4377.0,266412.0,326.5,0.01660647983317227
0.7500000000000003,0.7852746620649985,0.060771201756195097,13652.0,3733.0,268688.0,309.3,0.017791199309749785
0.7600000000000003,0.7916323817963162,0.055227162297735194,12507.0,3292.0,270274.0,296.15,0.018744857269447433
0.7700000000000004,0.7979461559811268,0.050378749480027823,11500.0,2912.0,271661.0,283.8,0.019691923397169027
0.7800000000000004,0.8108043788672061,0.04406567554435406,10221.0,2385.0,273467.0,272.55,0.021620656830080916
0.7900000000000004,0.8163669219516393,0.04062249845319202,9487.0,2134.0,274452.0,260.95000000000005,0.022455038292745894
0.8000000000000004,0.8237305178481649,0.03476385398132645,8192.0,1753.0,276128.0,234.3,0.023559577677224736
0.8100000000000004,0.8306744416327428,0.03177161074271252,7550.0,1539.0,276984.0,223.6,0.024601166244911432
0.8200000000000004,0.8408393039918116,0.027321697608652336,6572.0,1244.0,278257.0,204.20000000000002,0.026125895598771754
0.8300000000000004,0.8438425730004232,0.024780388222586543,5982.0,1107.0,278984.0,188.40000000000003,0.026576385950063484
0.8400000000000004,0.8501155496863652,0.021176413013461598,5150.0,908.0,280015.0,166.7,0.02751733245295477
0.8500000000000004,0.8599250936329588,0.018666564128736372,4592.0,748.0,280733.0,154.8,0.028988764044943823
0.8600000000000004,0.8656417112299465,0.015688303335162704,3885.0,603.0,281585.0,133.95,0.029846256684491975
0.8700000000000004,0.8736069584126122,0.012860353825771744,3214.0,465.0,282394.0,114.20000000000002,0.031041043761891825
0.8800000000000004,0.8820349761526232,0.010993697412898107,2774.0,371.0,282928.0,101.60000000000002,0.03230524642289349
0.8900000000000005,0.8863468634686347,0.009473106514770705,2402.0,308.0,283363.0,89.30000000000001,0.03295202952029521
0.9000000000000005,0.8944820909970959,0.007221932863290139,1848.0,218.0,284007.0,70.60000000000001,0.03417231364956438
0.9100000000000005,0.8999400838825644,0.005834175193045132,1502.0,167.0,284404.0,58.400000000000006,0.03499101258238466
0.9200000000000005,0.9118457300275482,0.005075627549611463,1324.0,128.0,284621.0,53.400000000000006,0.03677685950413224
0.9300000000000005,0.923728813559322,0.004124821286874329,1090.0,90.0,284893.0,45.5,0.03855932203389831
0.9400000000000005,0.9416873449131513,0.0028174626756107706,759.0,47.0,285267.0,33.25,0.041253101736972705
0.9500000000000005,0.9502982107355865,0.0017582924638116844,478.0,25.0,285570.0,21.400000000000002,0.04254473161033798
0.9600000000000005,0.9571428571428572,0.001468156729226456,402.0,18.0,285653.0,18.3,0.04357142857142857
0.9700000000000005,0.9483568075117371,0.000744565198393417,202.0,11.0,285860.0,9.000000000000002,0.04225352112676057
0.9800000000000005,0.975609756097561,0.00028664012332516525,80.0,2.0,285991.0,3.8,0.046341463414634146
0.9900000000000005,0.9722222222222222,0.00012584200536226768,35.0,1.0,286037.0,1.65,0.04583333333333333
